metric,value
engine_version,1.6.0
output_file,dse_1y_ohlcv_master_app_ready.csv
overlap_rows,40379
overlap_conflicts,0
invalid_source_rows,0
final_rows,84970
unique_symbols,460
unique_dates,239
first_date,2025-07-02
last_date,2026-06-30
weekday_monday,50
weekday_saturday,1
weekday_sunday,49
weekday_thursday,46
weekday_tuesday,47
weekday_wednesday,46
watchlist_AL-HAJTEX_sessions,188
watchlist_AL-HAJTEX_last_date,2026-06-30
watchlist_BDFINANCE_sessions,238
watchlist_BDFINANCE_last_date,2026-06-30
watchlist_KBPPWBIL_sessions,189
watchlist_KBPPWBIL_last_date,2026-06-30
watchlist_RAHIMAFOOD_sessions,238
watchlist_RAHIMAFOOD_last_date,2026-06-30
